[2026-03-03T20:36:24.805024+00:00] [XRP] WARNING: Kraken Spot = $1.3609 | Coinbase Spot = $1.3583 | Diff = 0.1903%
[2026-03-04T17:13:15.467877+00:00] [ETH] WARNING: Kraken Spot = $2156.2800 | Coinbase Spot = $2150.4250 | Diff = 0.2715%
[2026-03-04T17:13:15.734932+00:00] [SOL] WARNING: Kraken Spot = $92.2200 | Coinbase Spot = $92.0150 | Diff = 0.2223%
[2026-03-04T17:13:17.513738+00:00] [ETH] WARNING: Kraken Spot = $2156.2800 | Coinbase Spot = $2150.1350 | Diff = 0.2850%
[2026-03-04T17:13:17.515916+00:00] [SOL] WARNING: Kraken Spot = $92.2200 | Coinbase Spot = $91.9500 | Diff = 0.2928%
[2026-03-04T17:13:17.799454+00:00] [BTC] WARNING: Kraken Spot = $73714.6000 | Coinbase Spot = $73555.0250 | Diff = 0.2165%
[2026-03-04T17:13:19.538013+00:00] [SOL] WARNING: Kraken Spot = $92.2300 | Coinbase Spot = $91.9500 | Diff = 0.3036%
[2026-03-04T17:13:21.457044+00:00] [SOL] WARNING: Kraken Spot = $92.2600 | Coinbase Spot = $92.0150 | Diff = 0.2656%
[2026-03-04T17:13:21.557459+00:00] [ETH] WARNING: Kraken Spot = $2156.1200 | Coinbase Spot = $2152.5450 | Diff = 0.1658%
[2026-03-04T17:13:23.291723+00:00] [ETH] WARNING: Kraken Spot = $2156.1200 | Coinbase Spot = $2152.5450 | Diff = 0.1658%
[2026-03-04T17:13:25.139597+00:00] [ETH] WARNING: Kraken Spot = $2156.1200 | Coinbase Spot = $2152.5450 | Diff = 0.1658%
[2026-03-04T17:13:25.285936+00:00] [XRP] WARNING: Kraken Spot = $1.4544 | Coinbase Spot = $1.4522 | Diff = 0.1561%
[2026-03-04T17:13:25.381346+00:00] [SOL] WARNING: Kraken Spot = $92.2100 | Coinbase Spot = $92.0150 | Diff = 0.2115%
[2026-03-04T17:13:29.612443+00:00] [XRP] WARNING: Kraken Spot = $1.4544 | Coinbase Spot = $1.4522 | Diff = 0.1561%
[2026-03-04T17:13:43.543013+00:00] [XRP] WARNING: Kraken Spot = $1.4518 | Coinbase Spot = $1.4545 | Diff = 0.1846%
[2026-03-04T17:13:45.369622+00:00] [XRP] WARNING: Kraken Spot = $1.4519 | Coinbase Spot = $1.4545 | Diff = 0.1784%
[2026-03-04T17:14:52.228720+00:00] [BTC] WARNING: Kraken Spot = $73621.3000 | Coinbase Spot = $73732.5150 | Diff = 0.1511%
[2026-03-04T17:14:52.863327+00:00] [BTC] WARNING: Kraken Spot = $73621.3000 | Coinbase Spot = $73732.5150 | Diff = 0.1511%
[2026-03-04T18:13:01.671583+00:00] [BTC] WARNING: Kraken Spot = $73139.5000 | Coinbase Spot = $73393.9850 | Diff = 0.3479%
[2026-03-04T18:13:01.688186+00:00] [SOL] WARNING: Kraken Spot = $91.5400 | Coinbase Spot = $91.7650 | Diff = 0.2458%
[2026-03-04T18:13:01.701691+00:00] [XRP] WARNING: Kraken Spot = $1.4403 | Coinbase Spot = $1.4452 | Diff = 0.3395%
[2026-03-04T18:13:01.728728+00:00] [ETH] WARNING: Kraken Spot = $2145.9100 | Coinbase Spot = $2152.9350 | Diff = 0.3274%
[2026-03-04T18:13:03.570651+00:00] [ETH] WARNING: Kraken Spot = $2145.9100 | Coinbase Spot = $2152.9350 | Diff = 0.3274%
[2026-03-04T18:13:03.603425+00:00] [BTC] WARNING: Kraken Spot = $73139.4000 | Coinbase Spot = $73393.9850 | Diff = 0.3481%
[2026-03-04T18:13:03.623388+00:00] [XRP] WARNING: Kraken Spot = $1.4402 | Coinbase Spot = $1.4452 | Diff = 0.3451%
[2026-03-04T18:13:04.252255+00:00] [SOL] WARNING: Kraken Spot = $91.5400 | Coinbase Spot = $91.7650 | Diff = 0.2458%
[2026-03-04T18:13:06.179746+00:00] [ETH] WARNING: Kraken Spot = $2145.9100 | Coinbase Spot = $2152.9350 | Diff = 0.3274%
[2026-03-04T18:13:06.250461+00:00] [XRP] WARNING: Kraken Spot = $1.4405 | Coinbase Spot = $1.4452 | Diff = 0.3284%
[2026-03-04T18:13:06.388907+00:00] [SOL] WARNING: Kraken Spot = $91.5400 | Coinbase Spot = $91.7650 | Diff = 0.2458%
[2026-03-04T18:13:06.457192+00:00] [BTC] WARNING: Kraken Spot = $73124.8000 | Coinbase Spot = $73393.9850 | Diff = 0.3681%
[2026-03-04T18:13:08.254590+00:00] [SOL] WARNING: Kraken Spot = $91.5400 | Coinbase Spot = $91.7650 | Diff = 0.2458%
[2026-03-04T18:13:08.293868+00:00] [XRP] WARNING: Kraken Spot = $1.4405 | Coinbase Spot = $1.4452 | Diff = 0.3284%
[2026-03-04T18:13:08.334183+00:00] [BTC] WARNING: Kraken Spot = $73124.8000 | Coinbase Spot = $73393.9850 | Diff = 0.3681%
[2026-03-04T18:13:08.358133+00:00] [ETH] WARNING: Kraken Spot = $2145.9100 | Coinbase Spot = $2152.9350 | Diff = 0.3274%
[2026-03-04T18:13:10.108559+00:00] [ETH] WARNING: Kraken Spot = $2145.9100 | Coinbase Spot = $2152.9350 | Diff = 0.3274%
[2026-03-04T18:13:10.362275+00:00] [XRP] WARNING: Kraken Spot = $1.4407 | Coinbase Spot = $1.4452 | Diff = 0.3123%
[2026-03-04T18:13:10.372173+00:00] [SOL] WARNING: Kraken Spot = $91.5400 | Coinbase Spot = $91.7650 | Diff = 0.2458%
[2026-03-04T18:13:10.394530+00:00] [BTC] WARNING: Kraken Spot = $73124.8000 | Coinbase Spot = $73393.9850 | Diff = 0.3681%
[2026-03-04T18:13:12.205195+00:00] [SOL] WARNING: Kraken Spot = $91.5400 | Coinbase Spot = $91.7650 | Diff = 0.2458%
[2026-03-04T18:13:12.217937+00:00] [XRP] WARNING: Kraken Spot = $1.4410 | Coinbase Spot = $1.4452 | Diff = 0.2929%
[2026-03-04T18:13:12.353304+00:00] [ETH] WARNING: Kraken Spot = $2145.9100 | Coinbase Spot = $2152.9350 | Diff = 0.3274%
[2026-03-04T18:13:12.482417+00:00] [BTC] WARNING: Kraken Spot = $73110.2000 | Coinbase Spot = $73393.9850 | Diff = 0.3882%
[2026-03-04T18:13:14.248203+00:00] [ETH] WARNING: Kraken Spot = $2145.9100 | Coinbase Spot = $2152.9350 | Diff = 0.3274%
[2026-03-04T18:13:14.353795+00:00] [XRP] WARNING: Kraken Spot = $1.4410 | Coinbase Spot = $1.4452 | Diff = 0.2929%
[2026-03-04T18:13:14.452190+00:00] [BTC] WARNING: Kraken Spot = $73083.0000 | Coinbase Spot = $73393.9850 | Diff = 0.4255%
[2026-03-04T18:13:14.627943+00:00] [SOL] WARNING: Kraken Spot = $91.5400 | Coinbase Spot = $91.7650 | Diff = 0.2458%
[2026-03-04T18:13:16.446244+00:00] [BTC] WARNING: Kraken Spot = $73084.2000 | Coinbase Spot = $73393.9850 | Diff = 0.4239%
[2026-03-04T18:13:16.453206+00:00] [SOL] WARNING: Kraken Spot = $91.5400 | Coinbase Spot = $91.7650 | Diff = 0.2458%
[2026-03-04T18:13:16.554803+00:00] [XRP] WARNING: Kraken Spot = $1.4410 | Coinbase Spot = $1.4452 | Diff = 0.2929%
[2026-03-04T18:13:16.556707+00:00] [ETH] WARNING: Kraken Spot = $2145.9100 | Coinbase Spot = $2152.9350 | Diff = 0.3274%
[2026-03-04T18:13:18.378068+00:00] [SOL] WARNING: Kraken Spot = $91.5600 | Coinbase Spot = $91.7650 | Diff = 0.2239%
[2026-03-04T18:13:18.389281+00:00] [ETH] WARNING: Kraken Spot = $2145.9100 | Coinbase Spot = $2152.9350 | Diff = 0.3274%
[2026-03-04T18:13:18.413421+00:00] [BTC] WARNING: Kraken Spot = $73084.2000 | Coinbase Spot = $73393.9850 | Diff = 0.4239%
[2026-03-04T18:13:18.484445+00:00] [XRP] WARNING: Kraken Spot = $1.4410 | Coinbase Spot = $1.4452 | Diff = 0.2942%
[2026-03-04T18:13:20.301361+00:00] [XRP] WARNING: Kraken Spot = $1.4412 | Coinbase Spot = $1.4452 | Diff = 0.2789%
[2026-03-04T18:13:20.344110+00:00] [ETH] WARNING: Kraken Spot = $2145.9100 | Coinbase Spot = $2152.9350 | Diff = 0.3274%
[2026-03-04T18:13:20.485236+00:00] [SOL] WARNING: Kraken Spot = $91.5600 | Coinbase Spot = $91.7650 | Diff = 0.2239%
[2026-03-04T18:13:20.505605+00:00] [BTC] WARNING: Kraken Spot = $73084.2000 | Coinbase Spot = $73393.9850 | Diff = 0.4239%
[2026-03-04T18:13:22.337611+00:00] [SOL] WARNING: Kraken Spot = $91.5600 | Coinbase Spot = $91.7650 | Diff = 0.2239%
[2026-03-04T18:13:22.345170+00:00] [BTC] WARNING: Kraken Spot = $73084.2000 | Coinbase Spot = $73393.9850 | Diff = 0.4239%
[2026-03-04T18:13:22.439539+00:00] [ETH] WARNING: Kraken Spot = $2145.7500 | Coinbase Spot = $2152.9350 | Diff = 0.3348%
[2026-03-04T18:13:22.473413+00:00] [XRP] WARNING: Kraken Spot = $1.4415 | Coinbase Spot = $1.4452 | Diff = 0.2546%
[2026-03-04T18:13:24.266837+00:00] [ETH] WARNING: Kraken Spot = $2145.7500 | Coinbase Spot = $2152.9350 | Diff = 0.3348%
[2026-03-04T18:13:24.413073+00:00] [BTC] WARNING: Kraken Spot = $73084.2000 | Coinbase Spot = $73393.9850 | Diff = 0.4239%
[2026-03-04T18:13:24.481867+00:00] [XRP] WARNING: Kraken Spot = $1.4415 | Coinbase Spot = $1.4452 | Diff = 0.2546%
[2026-03-04T18:13:24.621486+00:00] [SOL] WARNING: Kraken Spot = $91.5700 | Coinbase Spot = $91.7650 | Diff = 0.2130%
[2026-03-04T18:13:26.390653+00:00] [ETH] WARNING: Kraken Spot = $2145.3900 | Coinbase Spot = $2152.9350 | Diff = 0.3517%
[2026-03-04T18:13:26.397687+00:00] [BTC] WARNING: Kraken Spot = $73111.4000 | Coinbase Spot = $73393.9850 | Diff = 0.3865%
[2026-03-04T18:13:26.403816+00:00] [SOL] WARNING: Kraken Spot = $91.5700 | Coinbase Spot = $91.7650 | Diff = 0.2130%
[2026-03-04T18:13:26.604461+00:00] [XRP] WARNING: Kraken Spot = $1.4415 | Coinbase Spot = $1.4452 | Diff = 0.2546%
[2026-03-04T18:13:28.441918+00:00] [ETH] WARNING: Kraken Spot = $2145.6800 | Coinbase Spot = $2152.9350 | Diff = 0.3381%
[2026-03-04T18:13:28.608667+00:00] [XRP] WARNING: Kraken Spot = $1.4415 | Coinbase Spot = $1.4452 | Diff = 0.2546%
[2026-03-04T18:13:28.614528+00:00] [SOL] WARNING: Kraken Spot = $91.5800 | Coinbase Spot = $91.7650 | Diff = 0.2020%
[2026-03-04T18:13:28.727756+00:00] [BTC] WARNING: Kraken Spot = $73111.5000 | Coinbase Spot = $73393.9850 | Diff = 0.3864%
[2026-03-04T18:13:30.435789+00:00] [ETH] WARNING: Kraken Spot = $2145.6800 | Coinbase Spot = $2152.9350 | Diff = 0.3381%
[2026-03-04T18:13:30.596344+00:00] [BTC] WARNING: Kraken Spot = $73111.5000 | Coinbase Spot = $73393.9850 | Diff = 0.3864%
[2026-03-04T18:13:30.707026+00:00] [SOL] WARNING: Kraken Spot = $91.5800 | Coinbase Spot = $91.7650 | Diff = 0.2020%
[2026-03-04T18:13:30.711657+00:00] [XRP] WARNING: Kraken Spot = $1.4415 | Coinbase Spot = $1.4452 | Diff = 0.2546%
[2026-03-04T18:13:32.536652+00:00] [ETH] WARNING: Kraken Spot = $2145.2400 | Coinbase Spot = $2152.9350 | Diff = 0.3587%
[2026-03-04T18:13:32.604019+00:00] [SOL] WARNING: Kraken Spot = $91.5800 | Coinbase Spot = $91.7650 | Diff = 0.2020%
[2026-03-04T18:13:32.611613+00:00] [XRP] WARNING: Kraken Spot = $1.4415 | Coinbase Spot = $1.4452 | Diff = 0.2546%
[2026-03-04T18:13:32.692761+00:00] [BTC] WARNING: Kraken Spot = $73111.4000 | Coinbase Spot = $73393.9850 | Diff = 0.3865%
[2026-03-04T18:13:34.486538+00:00] [ETH] WARNING: Kraken Spot = $2145.2100 | Coinbase Spot = $2152.9350 | Diff = 0.3601%
[2026-03-04T18:13:34.508286+00:00] [BTC] WARNING: Kraken Spot = $73111.4000 | Coinbase Spot = $73393.9850 | Diff = 0.3865%
[2026-03-04T18:13:34.538512+00:00] [SOL] WARNING: Kraken Spot = $91.5900 | Coinbase Spot = $91.7650 | Diff = 0.1911%
[2026-03-04T18:13:34.600654+00:00] [XRP] WARNING: Kraken Spot = $1.4415 | Coinbase Spot = $1.4452 | Diff = 0.2546%
[2026-03-04T18:13:36.354009+00:00] [BTC] WARNING: Kraken Spot = $73103.9000 | Coinbase Spot = $73393.9850 | Diff = 0.3968%
[2026-03-04T18:13:36.591386+00:00] [ETH] WARNING: Kraken Spot = $2145.2100 | Coinbase Spot = $2152.9350 | Diff = 0.3601%
[2026-03-04T18:13:36.615873+00:00] [XRP] WARNING: Kraken Spot = $1.4415 | Coinbase Spot = $1.4452 | Diff = 0.2546%
[2026-03-04T18:13:36.685958+00:00] [SOL] WARNING: Kraken Spot = $91.5900 | Coinbase Spot = $91.7650 | Diff = 0.1911%
[2026-03-04T18:13:38.300561+00:00] [ETH] WARNING: Kraken Spot = $2143.9900 | Coinbase Spot = $2152.9350 | Diff = 0.4172%
[2026-03-04T18:13:38.322107+00:00] [BTC] WARNING: Kraken Spot = $73124.7000 | Coinbase Spot = $73393.9850 | Diff = 0.3683%
[2026-03-04T18:13:38.665441+00:00] [XRP] WARNING: Kraken Spot = $1.4415 | Coinbase Spot = $1.4452 | Diff = 0.2546%
[2026-03-04T18:13:40.390543+00:00] [ETH] WARNING: Kraken Spot = $2143.9900 | Coinbase Spot = $2152.9350 | Diff = 0.4172%
[2026-03-04T18:13:40.428926+00:00] [BTC] WARNING: Kraken Spot = $73115.6000 | Coinbase Spot = $73393.9850 | Diff = 0.3807%
[2026-03-04T18:13:42.343552+00:00] [ETH] WARNING: Kraken Spot = $2143.9900 | Coinbase Spot = $2152.9350 | Diff = 0.4172%
[2026-03-04T18:13:42.367704+00:00] [BTC] WARNING: Kraken Spot = $73115.6000 | Coinbase Spot = $73393.9850 | Diff = 0.3807%
[2026-03-04T18:13:42.456027+00:00] [SOL] WARNING: Kraken Spot = $91.5900 | Coinbase Spot = $91.7650 | Diff = 0.1911%
[2026-03-04T18:13:46.530622+00:00] [SOL] WARNING: Kraken Spot = $91.4800 | Coinbase Spot = $91.7650 | Diff = 0.3115%
[2026-03-04T19:13:01.910854+00:00] [XRP] WARNING: Kraken Spot = $1.4634 | Coinbase Spot = $1.4593 | Diff = 0.2740%
[2026-03-04T19:13:01.933634+00:00] [SOL] WARNING: Kraken Spot = $92.8700 | Coinbase Spot = $92.6650 | Diff = 0.2207%
[2026-03-04T19:13:02.008438+00:00] [ETH] WARNING: Kraken Spot = $2186.6800 | Coinbase Spot = $2177.4950 | Diff = 0.4200%
[2026-03-04T19:13:03.784968+00:00] [SOL] WARNING: Kraken Spot = $92.8700 | Coinbase Spot = $92.6650 | Diff = 0.2207%
[2026-03-04T19:13:04.121318+00:00] [XRP] WARNING: Kraken Spot = $1.4623 | Coinbase Spot = $1.4593 | Diff = 0.1997%
[2026-03-04T19:13:04.127316+00:00] [ETH] WARNING: Kraken Spot = $2186.3500 | Coinbase Spot = $2177.4950 | Diff = 0.4050%
[2026-03-04T19:13:10.361940+00:00] [SOL] WARNING: Kraken Spot = $92.8400 | Coinbase Spot = $92.6650 | Diff = 0.1885%
[2026-03-04T19:13:17.218537+00:00] [SOL] WARNING: Kraken Spot = $92.9200 | Coinbase Spot = $92.6650 | Diff = 0.2744%
[2026-03-04T19:14:30.719565+00:00] [ETH] WARNING: Kraken Spot = $2181.1700 | Coinbase Spot = $2185.1050 | Diff = 0.1804%
[2026-03-04T19:14:31.514024+00:00] [ETH] WARNING: Kraken Spot = $2181.1700 | Coinbase Spot = $2185.1050 | Diff = 0.1804%
[2026-03-04T19:14:32.218064+00:00] [ETH] WARNING: Kraken Spot = $2181.1700 | Coinbase Spot = $2185.1050 | Diff = 0.1804%
[2026-03-04T19:43:01.239483+00:00] [SOL] WARNING: Kraken Spot = $93.9200 | Coinbase Spot = $93.7500 | Diff = 0.1810%
[2026-03-04T19:43:03.228747+00:00] [ETH] WARNING: Kraken Spot = $2188.4800 | Coinbase Spot = $2184.3150 | Diff = 0.1903%
[2026-03-04T19:43:03.360863+00:00] [XRP] WARNING: Kraken Spot = $1.4697 | Coinbase Spot = $1.4668 | Diff = 0.2000%
[2026-03-04T19:43:03.381815+00:00] [SOL] WARNING: Kraken Spot = $93.9200 | Coinbase Spot = $93.7500 | Diff = 0.1810%
[2026-03-04T19:43:05.348296+00:00] [SOL] WARNING: Kraken Spot = $93.9200 | Coinbase Spot = $93.4150 | Diff = 0.5377%
[2026-03-04T19:43:05.508475+00:00] [ETH] WARNING: Kraken Spot = $2189.0900 | Coinbase Spot = $2184.3150 | Diff = 0.2181%
[2026-03-04T19:43:09.641114+00:00] [SOL] WARNING: Kraken Spot = $94.0000 | Coinbase Spot = $93.4150 | Diff = 0.6223%
[2026-03-04T19:43:11.420355+00:00] [SOL] WARNING: Kraken Spot = $94.0000 | Coinbase Spot = $93.4150 | Diff = 0.6223%
[2026-03-04T19:43:14.316475+00:00] [SOL] WARNING: Kraken Spot = $94.0400 | Coinbase Spot = $93.7500 | Diff = 0.3084%
[2026-03-04T19:43:20.587469+00:00] [SOL] WARNING: Kraken Spot = $94.0400 | Coinbase Spot = $93.8750 | Diff = 0.1755%
[2026-03-04T19:43:28.745883+00:00] [SOL] WARNING: Kraken Spot = $94.0300 | Coinbase Spot = $93.8750 | Diff = 0.1648%
[2026-03-04T19:43:41.869090+00:00] [BTC] WARNING: Kraken Spot = $73755.3000 | Coinbase Spot = $73883.5950 | Diff = 0.1739%
[2026-03-04T19:43:42.351653+00:00] [ETH] WARNING: Kraken Spot = $2183.6500 | Coinbase Spot = $2187.3650 | Diff = 0.1701%
[2026-03-04T19:43:44.191657+00:00] [SOL] WARNING: Kraken Spot = $93.7800 | Coinbase Spot = $94.0150 | Diff = 0.2506%
[2026-03-04T19:43:44.196849+00:00] [ETH] WARNING: Kraken Spot = $2183.6500 | Coinbase Spot = $2187.2800 | Diff = 0.1662%
[2026-03-04T19:43:44.256608+00:00] [BTC] WARNING: Kraken Spot = $73770.9000 | Coinbase Spot = $73881.7150 | Diff = 0.1502%
[2026-03-04T19:43:46.326407+00:00] [ETH] WARNING: Kraken Spot = $2183.6500 | Coinbase Spot = $2187.3650 | Diff = 0.1701%
[2026-03-04T19:43:46.430353+00:00] [BTC] WARNING: Kraken Spot = $73762.4000 | Coinbase Spot = $73881.7150 | Diff = 0.1618%
[2026-03-04T19:43:46.443556+00:00] [SOL] WARNING: Kraken Spot = $93.8300 | Coinbase Spot = $93.9950 | Diff = 0.1758%
[2026-03-04T19:43:48.610852+00:00] [ETH] WARNING: Kraken Spot = $2183.6500 | Coinbase Spot = $2187.3650 | Diff = 0.1701%
[2026-03-04T19:43:50.525773+00:00] [ETH] WARNING: Kraken Spot = $2183.6500 | Coinbase Spot = $2187.3650 | Diff = 0.1701%
[2026-03-04T19:43:50.609417+00:00] [SOL] WARNING: Kraken Spot = $93.8000 | Coinbase Spot = $94.0150 | Diff = 0.2292%
[2026-03-04T19:43:50.624451+00:00] [BTC] WARNING: Kraken Spot = $73763.4000 | Coinbase Spot = $73881.7150 | Diff = 0.1604%
[2026-03-04T19:43:52.559947+00:00] [BTC] WARNING: Kraken Spot = $73722.5000 | Coinbase Spot = $73881.7150 | Diff = 0.2160%
[2026-03-04T19:43:52.619493+00:00] [SOL] WARNING: Kraken Spot = $93.8000 | Coinbase Spot = $94.0150 | Diff = 0.2292%
[2026-03-04T19:43:54.702672+00:00] [ETH] WARNING: Kraken Spot = $2183.6500 | Coinbase Spot = $2187.3650 | Diff = 0.1701%
[2026-03-04T19:43:54.719159+00:00] [SOL] WARNING: Kraken Spot = $93.7800 | Coinbase Spot = $94.0150 | Diff = 0.2506%
[2026-03-04T19:43:56.742886+00:00] [SOL] WARNING: Kraken Spot = $93.7800 | Coinbase Spot = $94.0150 | Diff = 0.2506%
[2026-03-04T19:43:57.751575+00:00] [SOL] WARNING: Kraken Spot = $93.7400 | Coinbase Spot = $94.0150 | Diff = 0.2934%
[2026-03-04T19:43:59.808503+00:00] [SOL] WARNING: Kraken Spot = $93.7400 | Coinbase Spot = $94.0150 | Diff = 0.2934%
[2026-03-04T19:44:25.631658+00:00] [XRP] WARNING: Kraken Spot = $1.4709 | Coinbase Spot = $1.4682 | Diff = 0.1897%
[2026-03-04T19:44:26.384973+00:00] [XRP] WARNING: Kraken Spot = $1.4709 | Coinbase Spot = $1.4682 | Diff = 0.1897%
[2026-03-04T19:44:33.597884+00:00] [XRP] WARNING: Kraken Spot = $1.4710 | Coinbase Spot = $1.4687 | Diff = 0.1570%
[2026-03-04T19:44:34.300991+00:00] [XRP] WARNING: Kraken Spot = $1.4710 | Coinbase Spot = $1.4687 | Diff = 0.1570%
[2026-03-04T20:28:32.264251+00:00] [XRP] WARNING: Kraken Spot = $1.4640 | Coinbase Spot = $1.4617 | Diff = 0.1571%
[2026-03-04T20:28:34.350701+00:00] [XRP] WARNING: Kraken Spot = $1.4640 | Coinbase Spot = $1.4618 | Diff = 0.1503%
[2026-03-04T20:28:36.862562+00:00] [XRP] WARNING: Kraken Spot = $1.4640 | Coinbase Spot = $1.4618 | Diff = 0.1503%
[2026-03-04T20:28:38.969115+00:00] [XRP] WARNING: Kraken Spot = $1.4647 | Coinbase Spot = $1.4618 | Diff = 0.1959%
[2026-03-04T20:28:41.349692+00:00] [XRP] WARNING: Kraken Spot = $1.4647 | Coinbase Spot = $1.4618 | Diff = 0.1959%
[2026-03-04T20:28:43.735846+00:00] [XRP] WARNING: Kraken Spot = $1.4647 | Coinbase Spot = $1.4617 | Diff = 0.2028%
[2026-03-04T20:28:45.863576+00:00] [XRP] WARNING: Kraken Spot = $1.4647 | Coinbase Spot = $1.4617 | Diff = 0.2028%
[2026-03-04T20:59:08.110272+00:00] [XRP] WARNING: Kraken Spot = $1.4586 | Coinbase Spot = $1.4563 | Diff = 0.1639%
[2026-03-04T20:59:09.032467+00:00] [XRP] WARNING: Kraken Spot = $1.4586 | Coinbase Spot = $1.4563 | Diff = 0.1639%
[2026-03-04T20:59:09.718194+00:00] [XRP] WARNING: Kraken Spot = $1.4594 | Coinbase Spot = $1.4563 | Diff = 0.2165%
[2026-03-04T20:59:11.658952+00:00] [XRP] WARNING: Kraken Spot = $1.4594 | Coinbase Spot = $1.4565 | Diff = 0.1994%
[2026-03-04T20:59:12.671051+00:00] [XRP] WARNING: Kraken Spot = $1.4594 | Coinbase Spot = $1.4565 | Diff = 0.1994%
[2026-03-04T20:59:13.221207+00:00] [XRP] WARNING: Kraken Spot = $1.4594 | Coinbase Spot = $1.4565 | Diff = 0.1994%
[2026-03-04T20:59:15.126241+00:00] [XRP] WARNING: Kraken Spot = $1.4594 | Coinbase Spot = $1.4565 | Diff = 0.1994%
[2026-03-04T20:59:16.372066+00:00] [XRP] WARNING: Kraken Spot = $1.4594 | Coinbase Spot = $1.4565 | Diff = 0.1994%
[2026-03-04T20:59:16.792010+00:00] [XRP] WARNING: Kraken Spot = $1.4594 | Coinbase Spot = $1.4565 | Diff = 0.1994%
[2026-03-04T20:59:18.578803+00:00] [XRP] WARNING: Kraken Spot = $1.4594 | Coinbase Spot = $1.4565 | Diff = 0.1994%
[2026-03-04T20:59:19.650117+00:00] [XRP] WARNING: Kraken Spot = $1.4598 | Coinbase Spot = $1.4565 | Diff = 0.2281%
[2026-03-04T20:59:20.501160+00:00] [XRP] WARNING: Kraken Spot = $1.4598 | Coinbase Spot = $1.4563 | Diff = 0.2452%
[2026-03-04T20:59:22.562545+00:00] [XRP] WARNING: Kraken Spot = $1.4590 | Coinbase Spot = $1.4565 | Diff = 0.1707%
[2026-03-04T20:59:23.457229+00:00] [XRP] WARNING: Kraken Spot = $1.4590 | Coinbase Spot = $1.4565 | Diff = 0.1707%
[2026-03-04T20:59:24.470781+00:00] [XRP] WARNING: Kraken Spot = $1.4589 | Coinbase Spot = $1.4563 | Diff = 0.1823%
[2026-03-04T20:59:28.325922+00:00] [XRP] WARNING: Kraken Spot = $1.4589 | Coinbase Spot = $1.4563 | Diff = 0.1823%
[2026-03-04T20:59:30.095049+00:00] [ETH] WARNING: Kraken Spot = $2151.9500 | Coinbase Spot = $2155.8350 | Diff = 0.1805%
[2026-03-04T20:59:30.110144+00:00] [SOL] WARNING: Kraken Spot = $93.0700 | Coinbase Spot = $92.9000 | Diff = 0.1827%
[2026-03-04T20:59:30.960172+00:00] [SOL] WARNING: Kraken Spot = $93.0700 | Coinbase Spot = $92.9000 | Diff = 0.1827%
[2026-03-04T20:59:31.289424+00:00] [ETH] WARNING: Kraken Spot = $2151.9500 | Coinbase Spot = $2155.8350 | Diff = 0.1805%
[2026-03-04T20:59:31.801425+00:00] [SOL] WARNING: Kraken Spot = $93.0700 | Coinbase Spot = $92.9000 | Diff = 0.1827%
[2026-03-04T20:59:32.004742+00:00] [ETH] WARNING: Kraken Spot = $2151.9500 | Coinbase Spot = $2155.8350 | Diff = 0.1805%
[2026-03-04T20:59:32.289280+00:00] [XRP] WARNING: Kraken Spot = $1.4604 | Coinbase Spot = $1.4563 | Diff = 0.2814%
[2026-03-04T20:59:38.490092+00:00] [XRP] WARNING: Kraken Spot = $1.4619 | Coinbase Spot = $1.4593 | Diff = 0.1772%
[2026-03-04T20:59:38.522003+00:00] [SOL] WARNING: Kraken Spot = $93.0800 | Coinbase Spot = $92.9000 | Diff = 0.1934%
[2026-03-04T20:59:39.237604+00:00] [XRP] WARNING: Kraken Spot = $1.4619 | Coinbase Spot = $1.4593 | Diff = 0.1772%
[2026-03-04T20:59:39.334050+00:00] [SOL] WARNING: Kraken Spot = $93.0800 | Coinbase Spot = $92.9000 | Diff = 0.1934%
[2026-03-04T20:59:40.164183+00:00] [SOL] WARNING: Kraken Spot = $93.0800 | Coinbase Spot = $92.9000 | Diff = 0.1934%
[2026-03-04T20:59:40.382899+00:00] [XRP] WARNING: Kraken Spot = $1.4619 | Coinbase Spot = $1.4593 | Diff = 0.1772%
[2026-03-04T21:00:02.759501+00:00] [SOL] WARNING: Kraken Spot = $92.9000 | Coinbase Spot = $93.0550 | Diff = 0.1668%
[2026-03-04T22:13:15.291113+00:00] [SOL] WARNING: Kraken Spot = $92.5500 | Coinbase Spot = $92.6950 | Diff = 0.1567%
[2026-03-04T22:13:17.675529+00:00] [ETH] WARNING: Kraken Spot = $2159.2200 | Coinbase Spot = $2163.4350 | Diff = 0.1952%
[2026-03-04T22:13:17.890458+00:00] [SOL] WARNING: Kraken Spot = $92.5400 | Coinbase Spot = $92.6950 | Diff = 0.1675%
[2026-03-04T22:13:19.692195+00:00] [ETH] WARNING: Kraken Spot = $2159.2200 | Coinbase Spot = $2163.4850 | Diff = 0.1975%
[2026-03-04T22:13:19.729188+00:00] [SOL] WARNING: Kraken Spot = $92.5400 | Coinbase Spot = $92.6950 | Diff = 0.1675%
[2026-03-04T22:13:22.515116+00:00] [ETH] WARNING: Kraken Spot = $2159.2200 | Coinbase Spot = $2163.4850 | Diff = 0.1975%
[2026-03-04T22:13:22.820710+00:00] [XRP] WARNING: Kraken Spot = $1.4481 | Coinbase Spot = $1.4503 | Diff = 0.1512%
[2026-03-04T22:13:24.673673+00:00] [ETH] WARNING: Kraken Spot = $2159.2200 | Coinbase Spot = $2163.4350 | Diff = 0.1952%
